p-value (K25),sig. level (K25),p-value (K50),sig. level(K50),p-value (K100),sig. level(K100)
0.00665518018465598,**,0.11378345325563,NS,0.865881089236605,NS
0.000789549599915575,***,0.000146179077448172,***,0.0029811206426211,**
0.000438308961692471,***,1.15993701568787e-06,****,3.20239130987046e-05,****
0.000598887141773391,***,0.00132590987670482,**,0.00188789428455746,**
0.00832207476551786,**,0.200499966451177,NS,0.869346001778643,NS
0.000618652386740689,***,1.28217070169036e-05,****,0.000184846777808095,***
0.00693409478900167,**,0.000340364255147947,***,0.000141231448121797,***
0.00569210655515635,**,2.32005243904005e-05,****,0.000128676459193881,***
0.118819789670246,NS,0.102448430090733,NS,0.951359764120972,NS
0.00597432095144113,**,5.29261603013893e-05,****,0.0186452815281002,*
0.000845922820818082,***,2.77912909478105e-05,****,0.000419384306824777,***
0.0113270478053177,*,8.95470702740227e-05,****,6.13494191588523e-05,****
0.118819789670246,NS,0.102448430090733,NS,0.951359764120972,NS
0.00597432095144113,**,5.29261603013893e-05,****,0.0186452815281002,*
0.000845922820818082,***,2.77912909478105e-05,****,0.000419384306824777,***
0.000621510901350061,***,6.95870086483658e-05,****,2.18258945604159e-05,****
